"species";"population";"N.ind";"N.plots";"pop.sd"
"Euterpe_precatoria";5211756358,54;5903;383;517540310,584544
"Protium_altissimum";5211146377,92;3301;182;939905960,287861
"Eschweilera_coriacea";4998490432,84;9048;560;280051459,983581
"Pseudolmedia_laevis";4295183612,4;5291;422;381973431,73443
"Iriartea_deltoidea";4067855476,78;8428;216;534261971,846229
"Euterpe_oleracea";3778666098,24;8572;87;662336141,172303
"Oenocarpus_bataua";3711704020,22;4857;350;396581876,630778
"Trattinnickia_burserifolia";2783763202,14;871;117;819174624,12159
"Socratea_exorrhiza";2682963736,44;3030;335;289501672,200026
"Astrocaryum_murumuru";2409750124,92;5748;195;271022771,392177
"Brosimum_lactescens";2278683212,7;2273;330;227901166,388328
"Protium_heptaphyllum";2129155599,242;1379;132;686636162,702678
"Eperua_falcata";1953419153;6031;127;307740489,569844
"Hevea_brasiliensis";1909100317,44;1898;173;295813651,203929
"Eperua_leucantha";1838183417,334;1390;16;594402534,265185
"Helicostylis_tomentosa";1793630336,9;1460;427;458441417,577325
"Attalea_butyracea";1778656968,92;1948;68;287909910,322138
"Rinorea_guianensis";1688917320,2;2561;160;314919775,592565
"Licania_heteromorpha";1570477754,32;2499;409;225958110,865963
"Metrodorea_flavida";1549396168,56;1326;90;227750935,657582
"Iryanthera_juruensis";1517340079,2;1865;318;151101273,926438
"Protium_apiculatum";1470149649,254;1690;246;240609929,271301
"Mauritia_flexuosa";1426411316,684;1989;90;352382616,705728
"Attalea_speciosa";1416158156,816;866;43;441555663,331925
"Clathrotropis_macrocarpa";1353988372,71;1510;72;211895539,005861
"Micropholis_guyanensis";1350138854,84;2176;412;137471832,49009
"Licania_apetala";1349619219,992;2721;202;215547196,235108
"Pentaclethra_macroloba";1339102703,208;2819;77;204114501,287146
"Theobroma_cacao";1319202526,294;1530;136;315268801,023065
"Virola_surinamensis";1295102747,264;1795;214;217967044,348395
"Theobroma_subincanum";1264084538,32;1858;379;139843938,724399
"Dicymbe_corymbosa";1260990676,414;1158;9;528880020,155289
"Oenocarpus_bacaba";1237426981,4;2107;308;131681497,325235
"Virola_calophylla";1224646463,584;1839;360;168073105,480772
"Theobroma_speciosum";1201793199,22;971;215;161452509,443905
"Ecclinusa_guianensis";1177255265,214;1555;297;197164778,316213
"Carapa_guianensis";1166247435,786;2076;188;190356041,261283
"Aspidosperma_excelsum";1132831180,16;2105;290;168752461,45093
"Gustavia_augusta";1105331047,946;1137;124;292984768,254461
"Pachira_brevipes";1079472400,79;1392;25;307927525,580077
"Protium_ex-tetragastrispanamensis";1076563531,87;1470;329;178156587,407119
"Hevea_guianensis";1068091833,046;1535;284;127523722,304757
"Pseudolmedia_laevigata";1043878405,51;1369;272;129660834,864517
"Guarea_kunthiana";1036968459,722;1139;216;137557355,942057
"Brosimum_guianense";1035876940,126;1192;414;145070722,660089
"Brosimum_rubescens";1029397600,866;1472;405;116538929,826244
"Chrysophyllum_sanguinolentum";1022714007,894;1351;258;155115433,983587
"Leonia_glycycarpa";1018484988,964;1719;302;120734270,762745
"Eschweilera_sagotiana";1008390299,568;2477;84;198889211,901697
"Catostemma_fragrans";997198685,194;2216;93;172056027,71046
"Astrocaryum_sciophilum";988133459,134;1513;73;294645275,204541
"Goupia_glabra";987947771,384;1665;379;109506897,117736
"Poecilanthe_effusa";987479734,87;846;80;274774558,879241
"Minquartia_guianensis";986644622,998;1713;529;87197026,8235306
"Virola_elongata";980614908,87;1230;231;130932471,724404
"Symphonia_globulifera";970372541,65;2069;397;115303831,662401
"Rinoreocarpus_ulei";969774132,338;806;67;302442237,526874
"Pourouma_minor";967578284,356;1549;251;107665692,385375
"Attalea_maripa";964739963,65;664;152;150319771,442597
"Tapirira_guianensis";963438756,672;1549;395;85776534,4011572
"Micrandra_spruceana";957460065,128;755;59;161397853,276154
"Licania_micrantha";952435075,306;982;216;223091547,151754
"Protium_sagotianum";943932780,264;903;219;172621626,381487
"Oxandra_polyantha";927894411,806;827;29;317466976,304608
"Lecythis_idatimon";908520722,27;2820;113;79947298,1403054
"Eschweilera_grandiflora";907550948,454;1657;221;131506214,986324
"Dialium_guianense";900229721,192;918;314;95128507,4324933
"Pouteria_guianensis";885770028,678;1445;382;116555502,344045
"Micrandra_sprucei";882648748,69;843;10;408325904,305509
"Cheiloclinium_cognatum";881506818,052;883;108;243261671,225247
"Eschweilera_wachenheimii";877406461,202;1491;129;145548975,537962
"Eschweilera_albiflora";874372485,694;926;80;168052224,636009
"Jacaranda_copaia";869131097,608;1421;447;86015784,3115116
"Sagotia_brachysepala";867107624,052;603;15;375373462,736537
"Luehea_cymulosa";862642547,434;759;59;372102450,214982
"Protium_hebetatum";854767318,54;1879;220;143993739,833284
"Rinorea_racemosa";852101191,332;1632;214;75309444,5247651
"Laetia_corymbulosa";838984476,004;832;23;406870359,622122
"Pterocarpus_rohrii";822781901,822;937;228;164055177,120511
"Senefeldera_inclinata";787616866,738;1415;35;264872777,907043
"Inga_alba";782113203,47;1400;352;76482434,858058
"Pouteria_elegans";779691345,508;815;77;215597441,892342
"Mabea_speciosa";778246098,428;902;149;185578083,486232
"Pseudolmedia_macrophylla";766103983,426;966;161;100398348,651654
"Cecropia_sciadophylla";744758981,738;1029;279;143937368,712738
"Virola_michelii";742140013,206;1315;267;95035329,881892
"Lecythis_corrugata";741279301,404;1713;107;124164042,619867
"Tachigali_paniculata";735379130,728;691;163;146174376,406288
"Eschweilera_parviflora";731855343,054;1256;70;144306234,964944
"Tabebuia_barbata";724474855,034;369;27;245959783,987562
"Virola_pavonis";718298515,096;1075;184;84957682,6991272
"Guarea_macrophylla";717876908,822;1237;174;117525570,425255
"Pseudobombax_munguba";701748389,364;750;50;263240747,803342
"Eschweilera_atropetiolata";700737143,694;1062;153;148449948,327932
"Eschweilera_parvifolia";693869178,806;1026;85;124421125,295253
"Sagotia_racemosa";683592585,6;870;87;129874452,442387
"Iryanthera_laevis";682442760,5;863;204;106719044,1407
"Trichilia_quadrijuga";678051585,258;469;103;176120786,702973
"Micropholis_venulosa";670691995,92;957;334;115779852,515663
"Pourouma_guianensis";659003818,084;1164;260;76671138,6151719
"Celtis_schippii";651140451,444;936;138;134487004,089956
"Monopteryx_uaucu";648615996,79;428;31;300656620,0306
"Protium_tenuifolium";647793893,852;822;213;123756819,807392
"Amaioua_guianensis";641845084,076;1304;166;105676247,978457
"Gustavia_hexapetala";635658860,346;1069;217;98398408,2925525
"Geissospermum_sericeum";635607016,118;949;134;88685877,3730794
"Otoba_parvifolia";634367922,402;1773;105;106334143,266861
"Simarouba_amara";631372542,494;705;326;70159359,7505629
"Eschweilera_pedicellata";627798506,228;1164;210;133114396,531224
"Mora_gonggrijpii";623776916,882;994;23;217962880,260865
"Licania_densiflora";623451615,6;720;52;219799464,217525
"Siparuna_decipiens";620093459,536;1040;259;79470920,0259452
"Aparisthmium_cordatum";617715414,834;498;90;121290804,315877
"Osteophloeum_platyspermum";615378094,668;785;280;78123468,4429036
"Scleronema_micranthum";611869366,024;990;179;68722810,349831
"Hirtella_racemosa";611764876,278;822;104;102864168,043377
"Clarisia_racemosa";606275605,41;754;275;51856586,7954308
"Mezilaurus_itauba";603887490,418;612;163;137913076,623739
"Maquira_coriacea";603034263,154;534;59;139495943,144855
"Quararibea_wittii";594131259,94;1199;77;114482700,489374
"Sterculia_pruriens";591531006,678;1024;261;45543883,7130069
"Attalea_phalerata";590598190,506;570;50;161355156,025311
"Protium_decandrum";587011777,592;1045;230;87157125,510714
"Pouteria_caimito";579452776,614;751;237;70199252,7822164
"Inga_thibaudiana";577177937,644;889;242;78290550,8031744
"Cenostigma_tocantinum";576444195,334;382;17;228344947,298588
"Virola_sebifera";572159666,902;697;207;64984655,9461396
"Guarea_silvatica";570284863,942;395;134;118525518,840923
"Zygia_latifolia";569052015,356;856;82;151513133,861006
"Sacoglottis_guianensis";566040631,674;877;212;95075709,0885986
"Chlorocardium_rodiei";563558600,33;955;30;146824876,21245
"Manilkara_bidentata";558554336,336;1126;242;64006984,9658223
"Calophyllum_brasiliense";549590412,988;904;154;74497949,4515263
"Crataeva_benthamii";547197289,9878;482;19;427021450,203244
"Mollia_gracilis";544758136,729;335;22;293428722,751949
"Eperua_purpurea";544432509,02;433;13;192540079,872244
"Erisma_uncinatum";542849782,4;600;119;120634073,698393
"Eperua_grandiflora";540710496,616;1625;52;189867023,671051
"Astrocaryum_aculeatum";539132241,336;391;65;125404955,977796
"Ocotea_aciphylla";535982762,27;638;158;105277436,443902
"Iryanthera_ulei";533496087,54;434;81;88943234,3579466
"Pouteria_cuspidata";531313028,434;689;247;73955180,3949331
"Guarea_guidonia";526148284,558;504;117;192448031,964373
"Licania_octandra";522722981,448;853;216;67096800,2086999
"Tachigali_chrysophylla";522234223,586;424;105;97696110,9991352
"Caryocar_glabrum";522227899,904;644;323;54025267,7979182
"Conceveiba_guianensis";517306790,786;783;326;76655780,0959057
"Cecropia_latiloba";517125117,312;629;42;175432590,939508
"Eschweilera_bracteosa";509070139,304;655;140;107025978,163664
"Protium_aracouchini";508372236,598;511;152;102023436,547457
"Campsiandra_laurifolia";504513376,241;304;28;267908380,111788
"Licania_kunthiana";503952483,088;1116;84;138525356,412035
"Couepia_paraensis";497760033,206;263;30;249320439,019975
"Spondias_mombin";494921450,436;733;176;76400519,1357138
"Protium_trifoliolatum";493085692,038;663;181;112289370,26648
"Brosimum_utile";488950685,176;529;213;73477672,3859615
"Qualea_paraensis";487911946,574;613;143;80342715,1671261
"Cynometra_marginata";487722941,4592;336;30;245249467,788884
"Matisia_ochrocalyx";487006017,308;692;174;89680810,9915498
"Eschweilera_decolorans";485480595,316;925;95;75940405,4348118
"Triplaris_weigeltiana";483036476,808;513;48;157460167,585458
