"species";"population";"N.ind";"N.plots";"pop.sd"
"Euterpe_precatoria";4921169441,584;6309;393;385131537,106482
"Eschweilera_coriacea";4364594968,498;9101;565;208491539,297865
"Protium_altissimum";3951744194,886;3249;183;667781693,230897
"Iriartea_deltoidea";3378188893,54;8386;216;622869648,337726
"Pseudolmedia_laevis";3320880273,772;5310;424;227014759,570876
"Oenocarpus_bataua";3006270440,952;4839;349;281387492,213206
"Trattinnickia_burserifolia";2511421040,883;875;121;515892320,270157
"Socratea_exorrhiza";2084613431,216;2979;333;181892322,85529
"Protium_heptaphyllum";1837475212,6984;1360;131;579555216,11744
"Brosimum_lactescens";1709702994,8;2294;326;154836000,523166
"Astrocaryum_murumuru";1645980436,438;5061;177;162581562,400366
"Helicostylis_tomentosa";1566450666,3188;1461;426;489263737,655066
"Eperua_falcata";1545577840,994;6031;127;199095545,229327
"Hevea_brasiliensis";1484479873,9136;1881;173;203649066,25977
"Euterpe_oleracea";1426075741,9914;7987;77;201799985,687384
"Theobroma_cacao";1402635301,698;1524;135;326566871,267817
"Eperua_leucantha";1402100340,8078;1390;16;382796835,420284
"Mauritia_flexuosa";1402079292,834;1967;88;330072522,176334
"Attalea_butyracea";1391319621,0672;1948;68;219485821,369589
"Rinorea_guianensis";1337577693,3346;2536;160;142214248,804601
"Hymenopus_heteromorphus";1300291348,4244;2612;441;165685113,243049
"Iryanthera_juruensis";1258855489,8658;1879;325;102245295,571097
"Micropholis_guyanensis";1213340590,3392;2291;418;103673238,868572
"Virola_calophylla";1137175796,0296;1860;363;107221432,710547
"Clathrotropis_macrocarpa";1129872066,9948;1579;74;162739746,616313
"Metrodorea_flavida";1116185378,4244;1317;90;165749338,735417
"Virola_surinamensis";1115624417,1924;1716;212;139574636,414988
"Theobroma_subincanum";1111268248,283;1856;378;119380302,567658
"Protium_apiculatum";1088983210,833;1678;246;115512197,326515
"Pachira_brevipes";1056946827,4498;1392;25;309358156,68209
"Leonia_glycycarpa";1022045794,286;1840;313;125417375,035829
"Theobroma_speciosum";993642408,658199;969;214;132492116,428304
"Oenocarpus_bacaba";977997656,792;2106;308;86241166,5717468
"Guarea_kunthiana";976786895,686;1131;215;157756662,516566
