Accepted_species;n.ind;n.plots;est.ind;population.mean;population.sd
Euterpe_precatoria;6309;393;4921459157,76632;4921169441,584;385131537,106482
Eschweilera_coriacea;9101;565;4354613233,73736;4364594968,498;208491539,297865
Protium_altissimum;3249;183;3972386934,28916;3951744194,886;667781693,230897
Iriartea_deltoidea;8386;216;3404874215,37286;3378188893,54;622869648,337726
Pseudolmedia_laevis;5310;424;3344930717,92758;3320880273,772;227014759,570876
Oenocarpus_bataua;4839;349;3012409900,98748;3006270440,952;281387492,213206
Trattinnickia_burserifolia;875;121;2491890705,4992;2511421040,883;515892320,270157
Socratea_exorrhiza;2979;333;2109977617,54773;2084613431,216;181892322,85529
Protium_heptaphyllum;1360;131;1792700159,56916;1837475212,6984;579555216,11744
Brosimum_lactescens;2294;326;1695868332,6587;1709702994,8;154836000,523166
Astrocaryum_murumuru;5061;177;1629573057,19543;1645980436,438;162581562,400366
Helicostylis_tomentosa;1461;426;1560468560,38236;1566450666,3188;489263737,655066
Eperua_falcata;6031;127;1526716858,96749;1545577840,994;199095545,229327
Hevea_brasiliensis;1881;173;1482212532,33434;1484479873,9136;203649066,25977
Euterpe_oleracea;7987;77;1426854247,67439;1426075741,9914;201799985,687384
Theobroma_cacao;1524;135;1438172228,29408;1402635301,698;326566871,267817
Eperua_leucantha;1390;16;1386369654,91012;1402100340,8078;382796835,420284
Mauritia_flexuosa;1967;88;1376895205,32234;1402079292,834;330072522,176334
Attalea_butyracea;1948;68;1404605615,61728;1391319621,0672;219485821,369589
Rinorea_guianensis;2536;160;1322172097,57288;1337577693,3346;142214248,804601
Hymenopus_heteromorphus;2612;441;1308500969,27912;1300291348,4244;165685113,243049
Iryanthera_juruensis;1879;325;1264666551,13139;1258855489,8658;102245295,571097
Micropholis_guyanensis;2291;418;1217885630,81895;1213340590,3392;103673238,868572
Virola_calophylla;1860;363;1141690319,70963;1137175796,0296;107221432,710547
Clathrotropis_macrocarpa;1579;74;1138818955,397;1129872066,9948;162739746,616313
Metrodorea_flavida;1317;90;1125041263,56727;1116185378,4244;165749338,735417
Virola_surinamensis;1716;212;1108397127,80929;1115624417,1924;139574636,414988
Theobroma_subincanum;1856;378;1109414089,50621;1111268248,283;119380302,567658
Protium_apiculatum;1678;246;1072048575,03145;1088983210,833;115512197,326515
Pachira_brevipes;1392;25;1051773703,22908;1056946827,4498;309358156,68209
Leonia_glycycarpa;1840;313;1030565312,46943;1022045794,286;125417375,035829
Theobroma_speciosum;969;214;1012119209,20683;993642408,658199;132492116,428304
Oenocarpus_bacaba;2106;308;989284274,648545;977997656,792;86241166,5717468
Guarea_kunthiana;1131;215;984612996,742293;976786895,686;157756662,516566
Rinoreocarpus_ulei;806;67;938895460,607448;967103458,618;277780978,998918
Aspidosperma_excelsum;2277;349;946938111,095993;955570232,955601;80785985,338252
Pseudolmedia_laevigata;1331;275;959256724,514626;953372140,5844;108893171,544002
Attalea_speciosa;865;43;938201599,408972;945800037,7754;240371133,315225
Hevea_guianensis;1550;288;934923896,508507;936499567,4988;75404228,8856788
Protium_hebetatum;1890;224;926596708,631378;933150228,7784;148004454,916329
Eschweilera_albiflora;928;83;914974049,315003;925102570,283;137261153,732713
