species;population;N.ind;N.plots
Euterpe_precatoria;4535095152,09104;6153;386
Eschweilera_coriacea;3990385794,76603;8958;558
Protium_altissimum;3405495096,0073;3241;181
Pseudolmedia_laevis;2961666211,06624;5282;421
Iriartea_deltoidea;2846877552,92793;8386;216
Oenocarpus_bataua;2598746038,50482;4757;344
Trattinnickia_burserifolia;1919513014,40298;875;121
Socratea_exorrhiza;1892792023,13581;2975;330
Brosimum_lactescens;1486558088,14732;2294;326
Protium_heptaphyllum;1444590110,25934;1359;130
Astrocaryum_murumuru;1412369109,34411;5058;175
Eperua_falcata;1390087477,37651;6031;127
Euterpe_oleracea;1355895929,56805;7987;77
Hevea_brasiliensis;1304892691,50698;1845;167
Helicostylis_tomentosa;1284311990,55854;1445;423
Eperua_leucantha;1224410191,6972;1390;16
Rinorea_guianensis;1196041928,69112;2530;157
Hymenopus_heteromorphus;1167876078,23683;2595;437
Attalea_butyracea;1152998648,48191;1948;68
Mauritia_flexuosa;1151471031,74316;1962;87
Micropholis_guyanensis;1099011161,34109;2279;415
Theobroma_cacao;1069235123,48433;1523;134
Iryanthera_juruensis;1033341214,21272;1851;322
Clathrotropis_macrocarpa;1026786890,30533;1579;74
Virola_surinamensis;1010421592,40357;1714;211
Virola_calophylla;1008736994,50039;1842;359
Theobroma_subincanum;991144872,834862;1850;376
Protium_apiculatum;972326452,539602;1663;244
Metrodorea_flavida;965602799,240957;1317;90
Oenocarpus_bacaba;917382846,269982;2094;304
Pachira_brevipes;911567125,503489;1392;25
Leonia_glycycarpa;904896059,050863;1836;310
Aspidosperma_excelsum;867550336,193016;2274;346
Theobroma_speciosum;851274442,702516;969;214
Eschweilera_albiflora;839818295,429944;928;83
Hevea_guianensis;824569631,116452;1529;285
Protium_hebetatum;815532913,226182;1882;222
Minquartia_guianensis;796774624,870501;1686;522
Guarea_kunthiana;785978820,754095;1131;215
Leptobalanus_apetalus;768578615,288496;1469;194
Protium_picramnioides;752589745,422638;1467;328
Pseudolmedia_laevigata;751409273,521967;1322;272
Goupia_glabra;732501578,005862;1693;373
Rinorea_racemosa;732142048,642159;1624;212
Guatteria_punctata;731454839,863144;1507;303
Brosimum_guianense;718611130,624986;1204;415
Pentaclethra_macroloba;713414744,966952;2756;77
Dialium_guianense;712743756,135949;946;315
Symphonia_globulifera;711260515,945592;2032;387
Eschweilera_grandiflora;707482598,895113;1616;214
Micrandra_sprucei;706447656,608159;843;10
Virola_elongata;703132430,974707;1136;230
Ecclinusa_guianensis;698272989,811472;1541;291
Brosimum_rubescens;695312468,128929;1496;399
Tapirira_guianensis;690172162,654231;1551;394
Gustavia_augusta;678597570,499858;1131;128
Rinoreocarpus_ulei;674321263,530025;806;67
Chrysophyllum_sanguinolentum;670719905,427845;1310;249
Cheiloclinium_cognatum;654806795,811676;765;107
Pseudolmedia_macrophylla;646205489,193829;987;160
Amphiodon_effusus;641529585,916914;849;80
Pouteria_guianensis;635973963,701887;1449;385
Lecythis_idatimon;635494346,891645;2838;114
Pourouma_minor;631305569,359236;1532;249
Attalea_speciosa;630009716,595438;799;38
Attalea_maripa;629198341,517835;679;153
Jacaranda_copaia;628952986,447225;1399;439
Pterocarpus_rohrii;627541175,020895;909;226
Inga_alba;619379331,744804;1400;349
Carapa_guianensis;616207486,032624;1959;181
Protium_sagotianum;613649457,58901;903;219
Eschweilera_wachenheimii;613523571,193741;1428;123
Micrandra_spruceana;592187663,588744;752;58
Oxandra_polyantha;583916740,086136;827;29
Virola_pavonis;582059453,242358;1068;183
Pouteria_elegans;559153482,495348;817;78
Virola_michelii;554814943,08218;1305;263
Amaioua_guianensis;549147821,438764;1225;165
Cecropia_sciadophylla;528318864,486675;1012;276
Eschweilera_sagotiana;527479106,49718;2473;83
Haploclathra_cordata;518286601,942026;543;6
Mabea_speciosa;517799939,723881;895;147
Licania_micrantha;514511727,540608;937;211
Sagotia_brachysepala;513817295,396047;608;15
Eschweilera_parvifolia;512631422,882724;1064;85
Lecythis_corrugata;509718323,513923;1719;111
Tachigali_paniculata;506248654,278834;716;174
Iryanthera_laevis;503611810,501875;870;207
Scleronema_micranthum;497670492,59952;972;178
Catostemma_fragrans;487662486,520149;2216;93
Eschweilera_pedicellata;486433758,660593;1175;210
Geissospermum_sericeum;486361118,214305;963;134
Astrocaryum_sciophilum;481084803,504296;1504;73
Pourouma_guianensis;475313252,051244;1161;260
Monopteryx_uaucu;470125993,09785;428;31
Eschweilera_atropetiolata;469398358,85968;1029;152
Guarea_macrophylla;462351061,634942;1237;174
Manilkara_bidentata;455284016,113357;1241;287
Pseudobombax_munguba;449073694,809938;751;49
Trichilia_quadrijuga;448516697,69747;474;106
Mora_gonggrijpii;441974135,830866;994;23
Eschweilera_parviflora;440574289,441329;1224;72
Sterculia_pruriens;440293355,854668;1023;259
Leptobalanus_octandrus;435113756,270541;843;216
Maquira_coriacea;430920161,465931;549;63
Protium_tenuifolium;428921634,942749;679;201
Eschweilera_tessmannii;426764823,769761;767;152
Guarea_silvatica;426402731,483369;391;131
Pseudosenefeldera_inclinata;423476716,727713;1316;38
Protium_decandrum;423033199,861226;1036;227
Gustavia_hexapetala;422076694,863095;1068;215
Clarisia_racemosa;420906744,790007;758;277
Eschweilera_bracteosa;416866156,025252;658;143
Otoba_parvifolia;416241898,400693;1770;104
Macrolobium_angustifolium;413801993,088206;928;99
Micropholis_venulosa;412703174,556298;934;329
Sacoglottis_guianensis;411381246,015281;859;210
Eperua_purpurea;408311533,160038;441;14
Dicymbe_corymbosa;406014774,605307;1158;9
Siparuna_decipiens;404507982,986295;1034;257
Mezilaurus_itauba;404375072,627751;609;163
Celtis_schippii;403047713,993611;928;137
Osteophloeum_platyspermum;399857433,361793;745;278
Quararibea_wittii;398799624,352797;1199;77
Simarouba_amara;398499986,484774;690;321
Pouteria_cuspidata;397510026,580225;711;252
Ocotea_aciphylla;396975910,619073;598;144
Handroanthus_barbatus;395739306,978318;355;26
Pouteria_caimito;387263858,665838;743;237
Protium_trifoliolatum;384905564,139912;669;181
Pouteria_reticulata;378563421,123892;819;283
Spondias_mombin;374529747,13283;829;195
Inga_thibaudiana;371105650,699786;879;241
Hirtella_racemosa;369463437,049849;829;106
Calophyllum_brasiliense;367543571,241508;600;146
Aparisthmium_cordatum;364033305,746601;537;119
Luehea_cymulosa;363697154,898032;686;59
Inga_capitata;361413677,411316;591;173
Sagotia_racemosa;361013122,636283;869;87
Attalea_phalerata;361007693,882751;545;50
Zygia_racemosa;360839506,972361;882;256
Mabea_nitida;359438817,850332;445;52
Laetia_procera;357841672,37019;1017;276
Couepia_guianensis;357800629,026534;916;197
Bocageopsis_multiflora;357747319,346482;707;182
Virola_sebifera;353422544,73353;696;205
Iryanthera_ulei;352271037,685235;427;80
Laetia_corymbulosa;350969417,235933;835;24
Guarea_guidonia;350394174,120411;570;131
Caryocar_glabrum;348195144,025201;633;316
Licania_densiflora;344735261,333737;720;52
Xylopia_amazonica;344685658,745764;508;71
Brosimum_utile;341458038,563892;528;212
Conceveiba_guianensis;337632175,3575;758;326
Astrocaryum_aculeatum;334286982,45293;375;59
Vouacapoua_americana;333874653,185655;1153;127
Pterocarpus_amazonum;333415378,431892;467;83
Eperua_grandiflora;329958519,720228;1625;52
Unonopsis_guatterioides;329243278,284785;467;106
Protium_aracouchini;329014432,553865;522;151
Cecropia_latiloba;326899505,757295;633;43
Miconia_pyrifolia;322611799,142142;515;69
Qualea_paraensis;318740634,151674;614;144
Pourouma_bicolor;318616057,850998;689;192
Eschweilera_amazonica;317845071,676625;719;94
Garcinia_macrophylla;312562248,725182;502;157
Erisma_uncinatum;310917276,807181;594;120
Protium_pilosissimum;309739852,415687;546;38
Cenostigma_tocantinum;307927920,706547;382;17
Eschweilera_decolorans;305559163,125423;931;95
