Species;population;N.ind;N.plots
Eschweilera coriacea;4685826050,38196;16101;932
Euterpe precatoria;3960787695,97058;8859;595
Oenocarpus bataua;2812314025,15267;7247;507
Pseudolmedia laevis;2800953822,5662;6864;619
Protium altissimum;2776872562,76022;4498;293
Iriartea deltoidea;2594839191,94447;11270;290
Mauritia flexuosa;1952452077,76975;3685;138
Socratea exorrhiza;1866057485,87998;4469;489
Astrocaryum murumuru;1757562442,13861;8100;298
Pentaclethra macroloba;1711614037,1124;10226;203
Hevea brasiliensis;1484086218,68337;3548;381
Brosimum lactescens;1458918454,45447;3170;467
Pachira brevipes;1457725832,10263;4114;36
Hymenopus heteromorphus;1421020017,29537;5404;782
Trattinnickia burserifolia;1417762967,67144;1221;198
Attalea speciosa;1358535161,71023;2060;115
Euterpe oleracea;1354439201,53742;10708;160
Virola surinamensis;1319587720,81484;4718;413
Eperua falcata;1313317499,73752;6377;148
Ruizterania retusa;1306481151,00223;1967;41
Protium apiculatum;1293300651,86689;4527;459
Micropholis guyanensis;1282703995,76963;3800;700
Iryanthera juruensis;1216928704,70499;3013;511
Helicostylis tomentosa;1173316679,53937;2391;622
Pseudolmedia laevigata;1168253567,04858;2437;435
Theobroma cacao;1151520428,89664;2096;208
Leptobalanus apetalus;1148492321,78633;4892;403
Protium heptaphyllum;1104052887,99744;1696;199
Eperua leucantha;1082949760,85926;1574;23
Gustavia augusta;1057360920,1634;3044;332
Virola calophylla;1026491705,67626;3108;563
Protium hebetatum;1023333894,78744;4373;338
Brosimum guianense;1001629271,59563;2826;658
Oenocarpus bacaba;1000718623,61209;13979;469
Attalea phalerata;981534764,834869;2220;120
Leonia glycycarpa;980950984,903502;2705;472
Dialium guianense;972215673,875414;2118;582
Mabea speciosa;970508137,900493;2101;272
Theobroma subincanum;927631099,682393;3022;577
Hevea guianensis;921421441,901127;3648;442
Clathrotropis macrocarpa;920196280,726258;1910;93
Rinorea guianensis;918080060,956443;4092;267
Eschweilera albiflora;916263843,28825;1414;153
Inga alba;913999250,566803;2967;590
Tapirira guianensis;895818306,895048;2487;641
Metrodorea flavida;891193552,417388;1568;133
Pouteria guianensis;885734455,094849;3505;625
Aspidosperma excelsum;872339772,002494;3359;525
Eschweilera grandiflora;849819352,555554;3305;330
Attalea butyracea;836747840,108648;2020;89
Attalea maripa;831897708,214004;1821;305
Goupia glabra;831235346,059989;3193;600
Virola elongata;816622007,017483;1884;343
Minquartia guianensis;810153695,340006;3228;805
Carapa guianensis;793498925,668188;3863;367
Licania micrantha;764516292,331494;1838;364
Virola pavonis;763110766,481642;1726;289
Chrysophyllum sanguinolentum;755869427,895374;2185;390
Micrandra sprucei;750506028,45266;1209;15
Brosimum rubescens;748105175,609967;2576;612
Protium sagotianum;746349065,080311;1795;330
Theobroma speciosum;735257903,336277;1603;298
Symphonia globulifera;720336801,167728;2749;587
Pterocarpus rohrii;713274295,606055;1606;375
Jacaranda copaia;710882773,48107;2513;613
Protium picramnioides;691421768,036257;4496;477
Pourouma minor;682241359,180817;1986;343
Guarea kunthiana;678192787,925863;1539;302
Pouteria caimito;666611212,886836;2218;402
Guatteria punctata;659905320,774364;3363;465
Eschweilera tessmannii;655361491,479023;1368;244
Pouteria elegans;652813061,582536;1900;182
Sacoglottis guianensis;643518285,097377;2062;370
Ecclinusa guianensis;642993941,239195;2587;438
Cheiloclinium cognatum;641114625,641607;1245;143
Pseudosenefeldera inclinata;640362516,85062;2127;73
Pourouma guianensis;637216514,9334;2092;425
Manilkara bidentata;628752187,10752;2442;461
Protium trifoliolatum;625671687,257907;1493;309
Rinorea racemosa;614583370,049001;5488;345
Virola michelii;608513022,908908;3366;414
Cecropia sciadophylla;606847980,704834;2169;428
Spondias mombin;604272288,557872;1900;335
Hevea spruceana;586211276,784847;1301;83
Pterocarpus amazonum;577945685,84338;1029;155
Lecythis idatimon;577385359,557621;3218;142
Amaioua guianensis;576261969,583723;1749;246
Tachigali paniculata;574738559,55793;1274;278
Rinoreocarpus ulei;573382345,942977;1017;96
Micrandra spruceana;570144170,660452;1086;84
Eschweilera bracteosa;570119933,748636;1959;238
Conceveiba guianensis;553732836,39154;1596;512
Pseudolmedia macrophylla;553682746,199709;1261;232
Qualea paraensis;548987748,752156;1166;244
Iryanthera laevis;548970399,95493;1454;338
Eperua purpurea;547579270,299049;800;31
Eschweilera wachenheimii;543403520,24551;1800;180
Amphiodon effusus;541764431,74009;1531;136
Eschweilera amazonica;539430253,779202;3016;196
Guarea guidonia;532427072,028439;1273;248
Guarea macrophylla;530046173,213547;1454;222
Sterculia pruriens;519662332,960803;1790;426
Micropholis venulosa;509991421,49103;1590;486
Eschweilera parviflora;507849967,663644;1859;134
Astrocaryum jauari;505209821,378063;1083;92
Oxandra polyantha;503385122,032537;841;33
Leptobalanus octandrus;503116670,885935;1835;365
Gustavia hexapetala;500687111,872334;1730;308
Osteophloeum platyspermum;497422375,442415;1417;441
Zygia racemosa;496366398,25542;2414;427
Protium decandrum;491367857,900608;1882;337
Sagotia racemosa;490518463,819342;1271;136
Sagotia brachysepala;489358540,909149;757;35
Bocageopsis multiflora;489114896,133401;1622;324
Eschweilera parvifolia;487041469,968351;1348;122
Eschweilera atropetiolata;486387120,998366;2204;257
Triplaris weigeltiana;475893961,996524;1316;116
Catostemma fragrans;475779644,909626;2518;106
Mezilaurus itauba;475725785,628785;1126;318
Maquira coriacea;475033000,156426;941;131
Lecythis corrugata;474962137,728153;1966;139
Mollia lepidota;474878503,026745;948;92
Swartzia polyphylla;472723453,602649;1778;340
Astrocaryum sciophilum;472365613,566152;1676;91
Clarisia racemosa;471597546,517835;1275;428
Protium amazonicum;470084270,443202;1783;285
Simarouba amara;469131650,433914;1225;538
Otoba parvifolia;467645974,623907;2037;142
Unonopsis guatterioides;464886149,829231;1003;225
Eschweilera truncata;464211236,146187;585;95
Cenostigma tocantinum;463589553,761937;851;30
Leopoldinia piassaba;463153392,982799;603;18
Virola sebifera;462150382,33259;1096;290
Calophyllum brasiliense;461272544,614337;1509;264
Naucleopsis caloneura;460669998,510511;1201;284
Eschweilera sagotiana;459679302,41492;2643;97
Inga capitata;458614474,920011;1133;301
Ocotea aciphylla;458011322,969142;1009;223
Pterocarpus santalinoides;457570872,972915;1483;121
Iryanthera ulei;455436940,202525;808;131
Eschweilera pedicellata;452744340,349778;1887;295
Himatanthus sucuuba;452618708,476637;920;279
Macrolobium acaciifolium;450310617,211475;1153;177
Scleronema micranthum;449042163,198968;1496;258
Guarea silvatica;446356572,04545;733;191
Quararibea wittii;446129768,405818;1286;87
Mauritiella armata;445160818,613419;995;30
Vatairea guianensis;445014105,959895;1219;251
Monopteryx uaucu;444578246,006261;621;48
Protium spruceanum;442567396,408817;1919;261
Drypetes amazonica;442359954,283928;948;155
Pseudobombax munguba;441506485,134409;1228;101
Siparuna decipiens;439170655,385183;1690;358
Haploclathra cordata;438603436,513026;681;8
Macrolobium angustifolium;436970168,73483;1417;179
Sloanea guianensis;427518692,639672;915;321
Celtis schippii;420130861,593928;1225;169
Hura crepitans;419799555,385711;952;152
Alexa imperatricis;418565646,126728;1564;38
Pouteria cuspidata;416876470,406221;1063;373
Malouetia tamaquarina;411296265,180709;699;96
Xylopia amazonica;407011360,227062;1063;140
Trichilia quadrijuga;404698019,380145;901;210
Geissospermum sericeum;403944576,461663;5912;190
Protium tenuifolium;399273405,330124;2448;284
Handroanthus barbatus;391745955,554053;746;70
Garcinia macrophylla;390172815,640749;866;286
Couepia guianensis;387046711,04748;1399;297
Mabea nitida;380502543,532894;901;88
Hirtella racemosa;380332360,889941;1086;176
Macrolobium limbatum;380301065,879793;726;222
Luehea cymulosa;376677347,950693;945;90
Handroanthus serratifolius;372706807,950166;833;255
Caryocar glabrum;372464976,121376;1056;478
Campsiandra comosa;372410438,571674;747;94
Laetia procera;368660506,720373;1777;382
Mora excelsa;367932768,548008;1279;23
Protium paniculatum;367822731,819573;2450;222
Macrolobium bifolium;366216814,650466;1136;124
Apeiba petoumo;364633188,859432;1263;312
Pouteria reticulata;358387452,151276;1928;377
Ocotea guianensis;356903198,514582;918;119
Quararibea guianensis;355788062,568913;1697;136
Quararibea ochrocalyx;351329997,585131;426;111
Brosimum utile;351326033,320719;823;319
Cupania scrobiculata;350373403,251391;920;232
Aparisthmium cordatum;347965336,432754;894;173
Inga thibaudiana;347111739,451399;1268;335
Caraipa grandifolia;345738570,250291;652;119
Astrocaryum macrocalyx;345370051,276126;1403;21
Astrocaryum aculeatum;344367080,37122;639;138
Oxandra riedeliana;342381117,400071;595;91
Neea oppositifolia;339450714,594435;749;229
Micropholis egensis;338584924,531994;1336;243
Ocotea cinerea;338433825,500141;717;176
Trichilia micrantha;336589935,477052;1268;303
Aldina heterophylla;333913662,777875;990;56
Chrysophyllum prieurii;331573963,098323;1048;280
Lueheopsis rosea;331213653,040626;564;185
Neea floribunda;327213341,412489;640;158
Theobroma sylvestre;324556194,176246;680;173
Peltogyne paniculata;323567089,151368;721;198
Taralea oppositifolia;321628999,468351;734;137
Trichilia pleeana;320592729,921988;758;127
Zygia latifolia;318260718,539468;1120;170
Helicostylis scabra;317072928,43769;647;233
Toulicia guianensis;316717466,040894;777;181
Laetia corymbulosa;315442694,16244;1058;45
Mora paraensis;314821870,786987;2879;55
Coccoloba densifrons;314246677,152795;938;146
Alchornea discolor;312958506,375465;714;158
Caraipa utilis;312877378,718796;1183;10
Eschweilera decolorans;309797376,372965;1484;130
Pourouma bicolor;306459963,261826;1142;274
Dicymbe corymbosa;304021148,76547;1158;9
Pouteria macrophylla;303320264,624339;1238;211
Hymenaea courbaril;301974717,409803;840;249
Cecropia membranacea;299427387,490207;552;104
Vouacapoua americana;299050210,468949;1632;174
Nealchornea yapurensis;298915431,757163;568;145
Erisma uncinatum;297607388,930035;831;191
Zygia cataractae;297343613,219545;496;66
Iryanthera tricornis;296914294,651046;544;104
Inga edulis;294320550,529571;766;185
Vitex cymosa;293850271,543029;811;71
Alexa grandiflora;293231422,326533;664;103
Pouteria torta;292926885,858204;1001;296
Abarema jupunba;292397262,888563;884;381
Sapium glandulosum;290977132,247355;702;214
Drypetes variabilis;290565427,545866;980;288
Tovomita umbellata;290343573,624077;244;52
Caraipa densifolia;289963810,170311;566;80
Vochysia vismiifolia;289454713,381332;461;90
Tachigali chrysophylla;289092317,24034;988;176
Cecropia latiloba;288848946,547222;870;75
Pourouma cecropiifolia;286983229,378325;805;188
Sloanea floribunda;286047933,962817;661;265
Eperua grandiflora;285712192,85455;1641;57
Parkia multijuga;282145524,130636;845;273
Leonia crassa;282084600,071659;620;77
Zygia juruana;281785827,93743;612;102
Piranhea trifoliata;279562468,522239;430;69
Ouratea discophora;277829335,596992;553;100
Pouteria cladantha;275373627,340273;1270;307
Sapium marmieri;274927304,427364;702;196
Manicaria saccifera;274623608,828989;1024;38
Tachigali glauca;272333029,133852;781;216
Protium aracouchini;272035172,041383;658;194
Micrandra elata;271214946,705318;787;28
Licania kunthiana;269184868,013673;1957;117
Inga heterophylla;268559709,380334;575;171
Apeiba glabra;268473036,714523;784;234
Protium altsonii;267100379,661476;750;218
Cynometra marginata;266994039,104699;543;49
Sloanea eichleri;264763508,997547;674;138
Miconia pyrifolia;263175331,462616;925;87
Apeiba tibourbou;261645217,670235;364;124
Diplotropis purpurea;261477332,707298;612;257
Trichilia cipo;261007163,465785;416;116
Sacoglottis mattogrossensis;260746027,007624;554;96
Mabea piriri;260548243,189059;1063;159
Hymenopus oblongifolius;260548029,111174;817;162
Casearia arborea;260198428,010806;671;163
Mora gonggrijpii;259670669,860415;998;25
Dicymbe uaiparuensis;258707224,016736;1003;12
Pouteria gomphiifolia;257931858,337141;549;76
Astronium lecointei;257606887,259439;522;217
Matayba arborescens;254683287,625635;568;113
Maquira guianensis;254555448,866303;967;329
Eschweilera subglandulosa;253810565,93091;908;66
Schefflera morototoni;252408514,194398;675;305
Inga rubiginosa;252220781,159232;1254;261
