Species;population;N ind;N plots
Abarema_acreana;1814685,43560451;2;2
Abarema_adenophora;51416838,2955651;140;57
Abarema_auriculata;18849818,3159208;76;27
Abarema_barbouriana;6443615,20112421;24;13
Abarema_campestris;1731130,51997597;6;2
Abarema_cochleata;18458816,5012761;54;32
Abarema_commutata;5465838,59488077;5;2
Abarema_curvicarpa;2663350,38367235;12;9
Abarema_floribunda;24338727,9883874;37;18
Abarema_gallorum;1599384,51534328;26;5
Abarema_jupunba;310745029,749968;848;366
Abarema_laeta;80434487,5420926;235;74
Abarema_leucophylla;16747730,94678;32;13
Abarema_levelii;677438,559161536;2;1
Abarema_longipedunculata;13039900,4362055;15;9
Abarema_macradenia;383125,358681874;1;1
Abarema_mataybifolia;33961865,6875487;195;81
Abarema_microcalyx;12397396,5732203;22;11
Abarema_piresii;7534001,5383602;86;27
Abarema_turbinata;974448,482384656;4;1
Abuta_grandifolia;53534358,1717455;264;46
Acalypha_diversifolia;6690484,82455484;8;2
Acalypha_macrostachya;4541007,29312112;11;1
Acalypha_stenoloba;5093272,08276558;11;3
Acalypha_stricta;2822710,57521234;9;4
Acanthocladus_scleroxylon;1726557,22161863;2;1
Acanthosyris_annonagustata;1068179,86929271;7;3
Achatocarpus_praecox;8572011,51530766;37;3
Acinodendron_piperifolium;263523,683098378;2;1
Acinodendron_regelii;3029889,88518912;4;4
Acinodendron_regnellii;1817641,88153875;3;1
Acioa_dolichopoda;13972699,0780783;21;14
Acioa_edulis;22229476,5194241;32;9
Acioa_guianensis;145608,996126633;1;1
Acioa_longipendula;53519589,8609988;766;122
Acioa_schultesii;2309626,43914692;4;2
Acmanthera_latifolia;397625,920313164;2;2
Acosmium_cardenasii;259867128,058278;399;13
Acrocomia_aculeata;11654779,5742794;39;6
Actinostemon_amazonicus;33478445,8975441;53;6
Adelia_ricinella;3809550,41518127;7;5
Adenocalymma_cladotrichum;14534235,4514902;24;12
Adiscanthus_fusciflorus;1540440,21423253;3;3
Aegiphila_integrifolia;10839118,7102363;31;15
Aegiphila_martinicensis;2501087,06438498;3;3
Aegiphila_membranacea;1731784,73628057;3;1
Aegiphila_racemosa;127517,04552966;1;1
Aegiphila_triflora;1521849,53948028;4;3
Aegiphila_verticillata;266499,431911225;2;1
Agonandra_brasiliensis;117555046,651201;323;129
Agonandra_excelsa;364688,204750383;3;2
Agonandra_peruviana;6383082,65787158;18;16
Agonandra_silvatica;61773705,6126774;140;96
Agouticarpa_isernii;3118015,96542302;16;10
Agouticarpa_velutina;256549,404965647;1;1
Agouticarpa_williamsii;1484995,00240322;3;2
Aiouea_angulata;2172007,58922689;4;3
Aiouea_grandifolia;45605670,9585466;68;50
Aiouea_guianensis;6220010,53678593;11;9
Aiouea_impressa;1236575,49895533;5;5
Aiouea_laevis;7352461,12867856;21;14
Aiouea_longipetiolata;3819345,65804787;12;7
Aiouea_maguireana;7478153,45194016;26;13
Aiouea_montana;1523052,79283613;9;8
Aiouea_myristicoides;15464433,4307337;191;48
Aiouea_napoensis;1014853,17104406;3;3
Aiouea_opaca;203896,662103439;2;1
Aiouea_piauhyensis;3858920,8823761;5;3
Aiouea_saligna;1645482,97684311;14;3
Aiouea_trinervis;6351561,04757307;10;6
Aiphanes_aculeata;515181,091312545;1;1
Aiphanes_ulei;3960473,89660287;14;1
Albizia_barinensis;73875163,1128898;108;8
Albizia_carbonaria;457897,804329357;1;1
Albizia_decandra;9469389,2343042;93;13
Albizia_duckeana;9859858,90172149;20;14
Albizia_ferruginea;187964,062624543;1;1
Albizia_glabripetala;378415,824346541;1;1
Albizia_multiflora;5382113,87347256;15;4
Albizia_niopoides;10502891,3515049;24;14
Albizia_subdimidiata;23600371,4119776;45;15
Alchornea_castaneifolia;55695890,5873285;78;13
Alchornea_discolor;338092854,616914;702;153
Alchornea_fluviatilis;24543986,3994909;62;14
Alchornea_glandulosa;47796223,9445163;141;47
Alchornea_grandiflora;28574530,6712597;24;1
Alchornea_grandis;349320,022395388;2;2
Alchornea_latifolia;14520904,5484265;54;13
Alchornea_scandens;221405,21275577;1;1
Alchornea_triplinervia;235974507,473757;342;95
Alchorneopsis_floribunda;148205536,012992;334;164
Aldina_discolor;3282620,02279685;3;1
Aldina_heterophylla;371239856,222167;985;51
Aldina_insignis;7209685,16310314;29;3
Aldina_kunhardtiana;83955874,1805461;93;10
Aldina_latifolia;79986877,3967017;229;23
Aldina_macrophylla;1006419,47429672;1;1
Alexa_canaracunensis;485022,145054705;2;1
Alexa_confusa;168106929,609232;348;12
Alexa_cowanii;14821700,0362595;74;1
Alexa_grandiflora;304414319,99591;678;104
Alexa_imperatricis;392184356,606695;1078;24
Alexa_leiopetala;239943,477881877;1;1
Alexa_wachenheimii;2430915,91141832;26;8
Alibertia_bertierifolia;10807903,5898173;27;13
Alibertia_claviflora;8568445,71717254;21;18
Alibertia_curviflora;2400128,99925274;8;3
Alibertia_edulis;35284202,6463387;130;33
Alibertia_itayensis;1672865,73012943;11;9
Alibertia_latifolia;307729,969534119;2;2
Alibertia_pilosa;928915,233123682;2;2
Alibertia_sorbilis;950411,842719974;1;1
Alibertia_stipularis;797399,635501061;3;2
Allantoma_decandra;162466113,292451;478;151
Allantoma_integrifolia;10587834,9805047;39;15
Allantoma_lineata;72383840,442996;398;54
Allantoma_pluriflora;21375580,7621097;40;21
Allophylus_amazonicus;17229432,122966;45;20
Allophylus_angustatus;1253389,52581261;9;9
Allophylus_divaricatus;29669205,51206;43;20
Allophylus_edulis;266499,431911225;2;1
Allophylus_glabratus;19599937,6924528;122;48
Allophylus_incanus;2333298,90491868;5;2
Allophylus_latifolius;29047635,4737172;46;28
Allophylus_loretensis;9710079,15303656;24;9
Allophylus_mollis;322743,687224556;2;2
Allophylus_paniculatus;21525706,6620745;57;18
Allophylus_pauciflorus;340836,532294684;1;1
Allophylus_pilosus;7602427,71297718;18;13
Allophylus_punctatus;12540259,7122341;46;22
Allophylus_racemosus;2123724,23375449;3;3
Allophylus_robustus;609451,06819101;4;4
Allophylus_scrobiculatus;44576924,452624;157;18
Allophylus_strictus;1438172,31580688;1;1
Alseis_blackiana;6813995,55141229;31;9
Alseis_eggersii;993287,307604177;2;2
Alseis_floribunda;15589970,879834;26;5
Alseis_labatioides;71763711,5187591;162;28
Alseis_longifolia;10686729,9579334;14;3
Alseis_lugonis;5408980,5927246;27;16
Alseis_microcarpa;18878268,3528033;53;21
Alseis_peruviana;37929764,8205053;40;5
Alseis_pickelii;950551,788542727;1;1
Amaioua_contracta;180756,661399514;1;1
Amaioua_glomerulata;139870532,330695;396;100
Amaioua_guianensis;626280400,759733;1736;236
Amanoa_congesta;616908,909045217;9;5
Amanoa_gracillima;37559109,8223547;71;3
Amanoa_guianensis;132017408,141507;467;51
Amanoa_nanayensis;2446624,83355222;6;3
Amanoa_neglecta;133371,36189226;1;1
Amanoa_oblongifolia;261814668,590055;770;39
Ambelania_acida;116891110,238694;609;230
Ambelania_duckei;15144492,350067;59;20
Ambelania_occidentalis;2294892,55508829;4;3
Amburana_acreana;27551021,5131539;53;15
Ampelocera_edentula;257137935,731124;607;285
Ampelocera_longissima;1787876,14907697;14;10
Ampelocera_ruizii;137823878,641714;245;53
Amphiodon_effusus;553198959,70065;1507;135
Amphirrhox_longifolia;214072249,314407;417;103
Amyris_macrocarpa;1734676,03065279;4;4
Anacardium_amapaense;489415,348380447;2;1
Anacardium_excelsum;4336957,17682034;14;4
Anacardium_giganteum;150203427,570348;299;152
Anacardium_microsepalum;5646618,18416355;10;6
Anacardium_occidentale;1483188,12179588;12;6
Anacardium_parvifolium;79839621,1895916;233;105
Anacardium_spruceanum;65534304,7707629;303;139
Anadenanthera_colubrina;206925666,686924;383;25
Anadenanthera_peregrina;6725851,55284209;9;5
Anaueria_brasiliensis;210205285,011036;206;51
Anaxagorea_acuminata;21253325,4760165;158;38
Anaxagorea_angustifolia;7106821,97804949;8;1
Anaxagorea_brachycarpa;8131609,50089751;7;5
Anaxagorea_brevipes;84809990,631005;244;52
Anaxagorea_dolichocarpa;86475396,7656499;208;40
Anaxagorea_manausensis;1300830,64068779;3;1
Anaxagorea_phaeocarpa;5566274,28393945;16;10
Anaxagorea_rufa;4153358,35853304;6;3
Andira_cordata;7562000,32770167;52;2
Andira_coriacea;7437197,70041832;101;33
Andira_cujabensis;47260,9681714864;1;1
Andira_fraxinifolia;99270032,868566;49;5
Andira_inermis;73342335,0670826;186;98
Andira_legalis;602071,438826416;5;3
Andira_macrocarpa;1865103,30465609;9;6
Andira_macrothyrsa;11700256,4141288;29;16
Andira_micrantha;88921097,6738693;235;123
Andira_multistipula;16196413,3488396;32;22
Andira_parviflora;41895207,3872312;124;52
Andira_surinamensis;43968463,0439334;197;78
Andira_trifoliolata;40757923,9195444;78;36
Andira_unifoliolata;105737154,137027;330;117
Andira_vermifuga;168944,487662398;3;1
Angostura_longiflora;2329275,30524904;6;2
Angostura_simplex;7164918,99550835;19;8
Aniba_affinis;11877009,3777355;42;12
Aniba_bracteata;522770,866044259;1;1
Aniba_burchellii;37745219,4297748;158;52
Aniba_canelilla;80661931,5645266;584;128
Aniba_citrifolia;33645067,7084247;127;53
Aniba_coto;1060335,41831641;6;4
Aniba_cylindriflora;33172856,9914879;62;19
Aniba_excelsa;9745755,50060449;36;13
Aniba_ferrea;11631054,7746922;40;22
Aniba_firmula;13961697,9226516;65;36
Aniba_guianensis;56766212,2999808;283;86
Aniba_hostmanniana;66339138,1013116;159;90
Aniba_hypoglauca;13027980,4465256;56;18
Aniba_jenmanii;1973707,4901447;11;8
Aniba_kappleri;30536755,3808451;74;31
Aniba_megaphylla;6767820,33308921;15;12
Aniba_panurensis;74867220,1917578;159;63
Aniba_parviflora;32812294,6171964;195;78
Aniba_permollis;3723260,65633898;7;4
Aniba_perutilis;2053904,20024744;4;3
