species;population;N.ind;N.plots
Abarema acreana;1835582,59730522;1;1
Abarema adenophora;81452885,0949604;78;41
Abarema auriculata;15050349,2214543;31;12
Abarema barbouriana;10597108,1683654;22;11
Abarema campestris;6770794,00685934;5;1
Abarema cochleata;19237285,6820225;19;17
Abarema commutata;6659127,55299415;5;2
Abarema curvicarpa;3730614,07142592;9;6
Abarema floribunda;22600393,0253415;11;7
Abarema gallorum;1356427,01715868;11;3
Abarema jupunba;363726998,608378;547;240
Abarema laeta;183840190,771319;235;74
Abarema leucophylla;18441477,7837409;22;7
Abarema longipedunculata;2511002,88652178;1;1
Abarema macradenia;987263,480805682;1;1
Abarema mataybifolia;34726409,147089;97;51
Abarema microcalyx;8577382,14452926;11;8
Abarema piresii;5287344,64504413;13;13
Abarema turbinata;2509910,05651303;4;1
Abuta candollei;614531,34111778;2;1
Abuta grandifolia;92158644,4336048;112;47
Abuta grisebachii;1333423,14366071;2;2
Abuta imene;753963,253134709;1;1
Abuta panurensis;1354158,80137187;1;1
Abuta rufescens;22928022,2364714;26;11
Abuta sandwithiana;3081082,90258157;3;2
Abuta seemannii;1384539,77713902;1;1
Abuta solimoesensis;2176630,56305247;1;1
Acacia alemquerensis;5737300,21294077;3;2
Acacia bonariensis;4033388,77475053;3;1
Acacia hayesii;2417783,95330447;2;2
Acacia kuhlmannii;10739315,7987622;10;3
Acacia loretensis;45754291,2900518;50;19
Acacia multipinnata;47484963,5393524;46;28
Acacia paraensis;1423557,14444735;1;1
Acacia polyphylla;201137209,320273;145;27
Acacia riparia;48043152,1358433;16;8
Acacia tenuifolia;12487663,033969;12;6
Acalypha diversifolia;11754991,7316266;8;2
Acalypha mapirensis;4780259,55821686;7;3
Acalypha stenoloba;4228666,45267327;3;1
Acanthocladus scleroxyon;3245557,39872684;2;1
Acanthosyris annonagustata;1625836,07510076;7;3
Achatocarpus praecox;32857716,4887503;37;3
Acinodendron regnellii;3730552,58824769;3;1
Acioa edulis;1251260,30938132;1;1
Acioa guianensis;299675,335449617;1;1
Acioa schultesii;5175576,66439019;4;2
Acosmium cardenasii;467421286,987101;399;13
Acosmium dasycarpum;1177019,24356235;2;1
Acosmium nitens;375693095,244885;606;25
Acosmium praeclarum;32751568,5931425;72;8
Acrocomia aculeata;16601664,9575307;22;2
Actinostemon amazonicus;4271940,46141615;3;2
Adelia ricinella;8169157,4362854;7;5
Adiscanthus fusciflorus;2398003,23496724;3;3
Aegiphila cordata;1260888,34187009;1;1
Aegiphila filipes;3141557,01841019;2;2
Aegiphila haughtii;3742307,20982731;11;7
Aegiphila integrifolia;11310875,0457768;17;8
Aegiphila lhotskiana;1177019,24356235;2;1
Aegiphila martinicensis;609271,05892718;1;1
Aegiphila racemosa;217323,995515269;1;1
Aegiphila villosa;1418471,88025726;1;1
Aenigmatanthera lasiandra;7449829,40894408;8;1
Agonandra brasiliensis;74564780,7361901;87;51
Agonandra excelsa;796753,668122681;2;1
Agonandra peruviana;5147032,88599725;10;10
Agonandra silvatica;49320987,5094501;94;67
Agouticarpa isernii;332728,445107704;1;1
Agouticarpa velutina;362562,893103861;1;1
Aiouea brasiliensis;340614,356978583;1;1
Aiouea grandifolia;15931849,7419926;38;31
Aiouea guianensis;1779221,12638761;4;4
Aiouea impressa;2950018,40779971;5;5
Aiouea laevis;12655404,4362347;20;13
Aiouea longipetiolata;9371730,5348022;9;4
Aiouea maguireana;8816232,83037875;19;10
Aiouea mocambensis;3494905,86574757;3;1
Aiouea myristicoides;24333843,3324657;43;36
Aiouea opaca;344151,003558847;2;1
Aiouea piauhyensis;6300650,85057044;4;2
Aiouea saligna;5381983,03291863;12;2
Aiouea trinervis;3083103,09746223;3;2
Aiphanes aculeata;1027172,19574067;1;1
Aiphanes ulei;14812279,3455116;14;1
Albizia carbonaria;1044196,75430207;1;1
Albizia decandra;3562360,84855342;7;4
Albizia duckeana;7427659,17458713;14;10
Albizia niopoides;11895313,6902938;11;8
Albizia pedicellaris;82478663,8570981;183;90
Albizia subdimidiata;49616638,4583077;47;14
Alchornea castaneifolia;93098379,4758649;33;4
Alchornea cordata;1280762,85865543;2;1
Alchornea discolor;315097598,248795;357;84
Alchornea floribunda;4255508,67332423;2;2
Alchornea fluviatilis;1509331,94401222;2;2
Alchornea glandulosa;104138180,641487;121;37
Alchornea grandiflora;66183083,4439537;24;1
Alchornea latifolia;7189268,16804932;15;10
Alchornea oblonga;2584138,83581529;2;2
Alchornea triplinervia;331518257,588176;265;65
Alchorneopsis floribunda;124051857,484811;211;111
Aldina discolor;4066025,52166515;3;1
Aldina heterophylla;418495635,999472;486;31
Aldina insignis;13917384,7376721;29;3
Aldina kunhardtiana;88021446,9463088;52;5
Aldina latifolia;59697198,4671024;44;9
Aldina macrophylla;1533103,81677532;1;1
Alexa canaracunensis;1657188,71034291;2;1
Alexa confusa;199671251,726176;209;6
Alexa cowanii;40151672,4330656;74;1
Alexa grandiflora;330012879,615631;263;18
Alexa imperatricis;345640994,203285;398;17
Alexa leiopetala;365462,787466132;1;1
