species;population;N.ind;N.plots
Eschweilera tenuifolia;231130886,773233;565;35
Micrandra glabra;110708644,3308;382;5
Ruizterania retusa;1305355091,81603;1967;41
Pachira brevipes;1457868867,5442;4114;36
Machaerium hirtum;147432321,379873;535;7
Spirotropis longifolia;72625100,0429616;1282;4
Tabebuia aurea;192752996,042121;451;9
Mauritia flexuosa;1952324657,19482;3685;138
Brosimum rubescens;754246364,579167;2646;612
Lueheopsis hoehnei;72520469,2431972;242;6
Micrandra sprucei;750437229,195276;1209;15
Dicymbe corymbosa;303331831,534202;1158;9
Eperua falcata;1312108272,06818;6377;148
Triplaris weigeltiana;475678769,873621;1316;116
Phyllanthus elsiae;40566963,7427511;306;1
Digomphia densicoma;126780131,679393;199;1
Mora excelsa;367711897,981966;1279;23
Vitex cymosa;293746383,254179;811;71
Euterpe oleracea;1355517032,31578;10708;160
Oxandra polyantha;503359374,106368;841;33
Macrolobium multijugum;193535424,053249;444;39
Tachigali vaupesiana;80716841,2607321;409;11
Attalea speciosa;1359832963,38405;2060;115
Astrocaryum macrocalyx;345366687,868771;1403;21
Astrocaryum murumuru;1757777446,75373;8100;298
Mauritiella armata;442653109,633484;948;28
Pseudosenefeldera inclinata;640356766,270236;2127;73
Laetia corymbulosa;315356374,129229;1058;45
Aspidosperma spruceanum;153308535,165187;712;154
Mora gonggrijpii;259410382,960037;998;25
Eperua grandiflora;285321792,696054;1641;57
Leptolobium nitens;170962656,253402;745;69
Eperua leucantha;1082808045,61764;1574;23
Attalea phalerata;981220098,812599;2220;120
Luehea cymulosa;376628414,454789;945;90
Licania densiflora;219631164,808171;799;69
Protium heptaphyllum;1117931598,17734;1692;200
Caraipa utilis;312906339,019183;1183;10
Pentaclethra macroloba;1710045087,64582;10226;203
Leptobalanus apetalus;1078559756,49169;3699;395
Aspidosperma polyneuron;46183306,9154175;73;11
Haploclathra cordata;438625394,238282;681;8
Cecropia membranacea;299406386,766591;552;104
Eschweilera subglandulosa;253705457,81406;908;66
Clathrotropis glaucophylla;208262698,566189;458;22
Astrocaryum jauari;505024419,009387;1083;92
Cheiloclinium cognatum;657158060,894879;1147;143
Leopoldinia pulchra;58437658,2722581;227;9
Mora paraensis;314922748,040512;2879;55
Iriartea deltoidea;2595149254,76863;11270;290
Micropholis egensis;339969772,341414;1338;244
Manicaria saccifera;274650773,439438;1024;38
Acosmium cardenasii;236747173,330778;399;13
Caraipa punctulata;141550278,747719;206;36
Astrocaryum sciophilum;472047082,173546;1676;91
Hevea spruceana;585908265,286305;1301;83
Pseudobombax munguba;441361730,694905;1228;101
Virola surinamensis;1317933725,02135;4718;413
Astrocaryum gynacanthum;69567991,7717082;519;27
Oxandra espintana;212888972,788574;451;25
Rinorea guianensis;916702318,588096;4092;267
Couepia paraensis;199824806,075127;418;74
Campsiandra laurifolia;121024793,619265;498;67
Micropholis gardneriana;120372154,804151;1218;11
Coccoloba densifrons;314047532,03287;938;146
Elaeoluma glabrescens;161214365,392695;327;41
Cecropia latiloba;288829903,365394;870;75
Aspidosperma cuspa;200582906,853341;316;7
Monopteryx uaucu;444552197,15054;621;48
Trattinnickia burserifolia;1417533391,96513;1222;199
Eschweilera sagotiana;458999601,995228;2643;97
