"n.plots","mean","low","upp"
1046,4607.17,4215,5053.31
1232,4755.24,4359.08,5214.08
1418,4882.45,4468.58,5348.14
1604,4988.16,4568.36,5474.83
1790,5090.78,4652.44,5583.47
1976,5175.1,4735.97,5683.08
2162,5254.16,4809.36,5772.07
2348,5332.5,4871.33,5856.2
2534,5396.44,4936.72,5930.77
2720,5460.24,4986.59,5998.32
2906,5514.31,5047.58,6060.23
3092,5574.29,5092.53,6124.42
3278,5622.62,5137.33,6178.73
3464,5669.79,5184.62,6234.28
3650,5718.02,5218.95,6284.17
3836,5759.76,5256.48,6331.04
4022,5804.33,5300.54,6376.89
4208,5846.95,5331.81,6424.29
4394,5881.85,5369.44,6463.76
4580,5915.91,5395.31,6502.86
4766,5955.5,5434.9,6540.59
4952,5984.53,5461.81,6580.84
5138,6015.52,5484.4,6615.54
5324,6045.22,5519.76,6652.67
5510,6080.92,5545.81,6679.53
5696,6105.88,5569.48,6716.54
5882,6130.88,5592.12,6747.74
6068,6160.53,5619.25,6774.39
6254,6183.44,5644,6807.71
6440,6206.86,5666.44,6832.87
6626,6233.16,5687.02,6862.23
6812,6256.56,5706.59,6888.37
6998,6280.12,5733.83,6914.4
7184,6303.31,5750.21,6936.74
7370,6327.02,5770.48,6964.42
7556,6350.95,5785.38,6990.59
7742,6373.36,5807.37,7008.65
7784,6377.75,5811.38,7022.44
7928,6387.73,5826.52,7035.07
8114,6411.11,5848.01,7058.54
8300,6430.24,5865.58,7078.53
8486,6443.09,5876.57,7100.76
8672,6464.83,5894.02,7127.03
8858,6484.91,5905.89,7137.24
9044,6503.57,5927.43,7157.53
9230,6518,5946.55,7181.69
9416,6536.72,5957.61,7195.53
9602,6555.54,5977.05,7212.06
9788,6569.29,5988.41,7236.66
9974,6585.99,6003.93,7252.27
10160,6601.95,6018.58,7269.53
10346,6620.02,6030.83,7283.27
10532,6629.14,6045.7,7297.77
10718,6645.6,6055.24,7321.41
10904,6665.88,6072.62,7336.75
11090,6670.05,6082.22,7353.87
11276,6695.33,6095.89,7369.5
11462,6704.48,6110.08,7387.08
11648,6715.16,6124.91,7400.28
11834,6731.96,6132.54,7411.56
12020,6745.37,6147.06,7435.8
12206,6758.27,6158.23,7446.54
12392,6768.23,6170.14,7455.4
12578,6784.09,6178.81,7469.6
12764,6793.51,6193.06,7486.57
12950,6805.88,6202.36,7501.06
13136,6815.79,6216.4,7511.05
13322,6828.61,6223.05,7519.93
13508,6838.87,6239.79,7544.03
13694,6853.25,6245.11,7553.44
13880,6867.2,6254.88,7564.4
14066,6876.71,6268.17,7579.15
14252,6885.79,6278.06,7591.35
14438,6897.64,6287.35,7603.98
14624,6906.14,6293.77,7616.29
14810,6915.41,6306.63,7626.6
14996,6932.09,6315.63,7638.29
15182,6942.82,6325.4,7647.32
15368,6947.28,6331.78,7663.01
15554,6961.81,6342.81,7671.73
15568,6957.87,6342.53,7672.69
15740,6976.45,6351.34,7686.65
15926,6980.74,6359.42,7691.88
16112,6993.28,6368.73,7707.35
16298,7003.31,6378,7717.2
16484,7008.47,6384.74,7729.1
16670,7019.77,6396.38,7740.67
16856,7029.59,6403.99,7745.15
17042,7039.91,6410.09,7760.45
17228,7040.7,6415.9,7770.54
17414,7053,6428.49,7779.26
17600,7066.2,6440.17,7787.96
17786,7072.37,6448.47,7800.42
17972,7084.25,6450.02,7807.39
18158,7093.24,6458.24,7824.71
18344,7103.03,6468.55,7826.83
18530,7110.09,6473.21,7841.8
18716,7112.75,6482.25,7853.26
18902,7126.62,6489,7860.53
19088,7133.36,6497,7863.68
19274,7141.91,6503.65,7870.79
19460,7150.29,6517.09,7884.98
