"","x"
"1",1866150293
"2",1866150293
"3",1666064139
"4",1544959668
"5",1458217336
"6",1390762518
"7",1335658767
"8",1289138150
"9",1248926229
"10",1213544694
"11",1181979139
"12",1153503100
"13",1127578853
"14",1103797366
"15",1081840134
"16",1061454424
"17",1042436459
"18",1024619532
"19",1007865218
"20",992057860
"21",977099497
"22",962906508
"23",949407116
"24",936538925
"25",924247721
"26",912485643
"27",901211009
"28",890386446
"29",879978719
"30",869958204
"31",860298338
"32",850975160
"33",841966957
"34",833254116
"35",824818597
"36",816644071
"37",808715830
"38",801019879
"39",793543735
"40",786275899
"41",779205424
"42",772322498
"43",765617971
"44",759083313
"45",752710381
"46",746491939
"47",740421049
"48",734491242
"49",728696403
"50",723030887
"51",717489345
"52",712066817
"53",706758572
"54",701560075
"55",696467271
"56",691476081
"57",686582924
"58",681784063
"59",677076345
"60",672456437
"61",667921343
"62",663468218
"63",659094302
"64",654797074
"65",650574020
"66",646422812
"67",642341156
"68",638326971
"69",634378079
"70",630492752
"71",626668937
"72",622904843
"73",619198853
"74",615549365
"75",611954643
"76",608413231
"77",604923753
"78",601484755
"79",598095030
"80",594753045
"81",591457763
"82",588207948
"83",585002353
"84",581840086
"85",578719818
"86",575640741
"87",572601869
"88",569602122
"89",566640622
"90",563716399
"91",560828851
"92",557976884
"93",555159837
"94",552376889
"95",549627288
"96",546910233
"97",544225242
"98",541571452
"99",538948233
"100",536354915
"101",533790987
"102",531255731
"103",528748649
"104",526269193
"105",523816746
"106",521390712
"107",518990736
"108",516616199
"109",514266654
"110",511941662
"111",509640669
"112",507363350
"113",505109140
"114",502877744
"115",500668588
"116",498481351
"117",496315720
"118",494171261
"119",492047536
"120",489944208
"121",487861005
"122",485797503
"123",483753370
"124",481728276
"125",479721977
"126",477734065
"127",475764379
"128",473812423
"129",471878064
"130",469960946
"131",468060844
"132",466177383
"133",464310445
"134",462459669
"135",460624880
"136",458805801
"137",457002110
"138",455213688
"139",453440321
"140",451681645
"141",449937555
"142",448207829
"143",446492229
"144",444790555
"145",443102582
"146",441428139
"147",439767075
"148",438119158
"149",436484127
"150",434861943
"151",433252366
"152",431655190
"153",430070278
"154",428497531
"155",426936645
"156",425387553
"157",423850028
"158",422323990
"159",420809350
"160",419305750
"161",417813248
"162",416331577
"163",414860655
"164",413400329
"165",411950449
"166",410510979
"167",409081647
"168",407662370
"169",406253094
"170",404853631
"171",403463857
"172",402083665
"173",400712982
"174",399351620
"175",397999534
"176",396656576
"177",395322676
"178",393997644
"179",392681497
"180",391373976
"181",390075163
"182",388784781
"183",387502867
"184",386229302
"185",384963899
"186",383706649
"187",382457489
"188",381216231
"189",379982869
"190",378757210
"191",377539308
"192",376329000
"193",375126251
"194",373930955
"195",372742970
"196",371562333
"197",370388821
"198",369222546
"199",368063275
"200",366910947
"201",365765620
"202",364627049
"203",363495313
"204",362370224
"205",361251732
"206",360139851
"207",359034472
"208",357935520
"209",356842921
"210",355756675
"211",354676618
"212",353602771
"213",352534965
"214",351473303
"215",350417566
"216",349367784
"217",348323962
"218",347285882
"219",346253581
"220",345227056
"221",344206140
"222",343190767
"223",342181067
"224",341176782
"225",340177946
"226",339184562
"227",338196490
"228",337213743
"229",336236238
"230",335263938
"231",334296830
"232",333334745
"233",332377786
"234",331425847
"235",330478868
"236",329536811
"237",328599641
"238",327667305
"239",326739767
"240",325816987
"241",324898925
"242",323985515
"243",323076740
"244",322172585
"245",321272974
"246",320377873
"247",319487235
"248",318601087
"249",317719326
"250",316841913
"251",315968799
"252",315099977
"253",314235472
"254",313375124
"255",312519033
"256",311667048
"257",310819147
"258",309975355
"259",309135619
"260",308299917
"261",307468196
"262",306640419
"263",305816539
"264",304996600
"265",304180493
"266",303368188
"267",302559713
"268",301754996
"269",300954017
"270",300156741
"271",299363168
"272",298573209
"273",297786872
"274",297004187
"275",296225037
"276",295449429
"277",294677286
"278",293908722
"279",293143581
"280",292381832
"281",291623515
"282",290868629
"283",290117046
"284",289368836
"285",288623892
"286",287882257
"287",287143871
"288",286408763
"289",285676800
"290",284948080
"291",284222545
"292",283500062
"293",282780760
"294",282064596
"295",281351450
"296",280641337
"297",279934320
"298",279230272
"299",278529229
"300",277831156
"301",277135997
"302",276443792
"303",275754481
"304",275068048
"305",274384495
"306",273703788
"307",273025903
"308",272350875
"309",271678574
"310",271009067
"311",270342261
"312",269678264
"313",269016925
"314",268358288
"315",267702336
"316",267049096
"317",266398441
"318",265750399
"319",265105006
"320",264462131
"321",263821852
"322",263184197
"323",262549015
"324",261916380
"325",261286233
"326",260658549
"327",260033380
"328",259410640
"329",258790381
"330",258172516
"331",257557090
"332",256943997
"333",256333324
"334",255725031
"335",255119051
"336",254515449
"337",253914113
"338",253315117
"339",252718390
"340",252123956
"341",251531751
"342",250941843
"343",250354155
"344",249768681
"345",249185366
"346",248604340
"347",248025413
"348",247448706
"349",246874098
"350",246301657
"351",245731359
"352",245163170
"353",244597088
"354",244033072
"355",243471093
"356",242911263
"357",242353411
"358",241797664
"359",241243918
"360",240692160
"361",240142442
"362",239594681
"363",239048931
"364",238505176
"365",237963341
"366",237423422
"367",236885513
"368",236349484
"369",235815345
"370",235283138
"371",234752782
"372",234224348
"373",233697791
"374",233173064
"375",232650196
"376",232129177
"377",231609958
"378",231092579
"379",230576958
"380",230063173
"381",229551195
"382",229040981
"383",228532489
"384",228025790
"385",227520843
"386",227017625
"387",226516134
"388",226016368
"389",225518311
"390",225021946
"391",224527258
"392",224034234
"393",223542940
"394",223053277
"395",222565249
"396",222078869
"397",221594188
"398",221111079
"399",220629603
"400",220149707
