Species;population;N.ind;N.plots
Eschweilera coriacea;4,71E+09;16030;926
Euterpe precatoria;3,68E+09;8558;588
Protium altissimum;2,88E+09;4498;293
Pseudolmedia laevis;2,85E+09;6838;614
Oenocarpus bataua;2,68E+09;7190;501
Iriartea deltoidea;2,63E+09;11270;290
Mauritia flexuosa;1,99E+09;3685;138
Socratea exorrhiza;1,78E+09;4379;482
Astrocaryum murumuru;1,77E+09;8067;296
Pentaclethra macroloba;1,69E+09;10226;203
Pachira brevipes;1,50E+09;4114;36
Brosimum lactescens;1,49E+09;3150;465
Hevea brasiliensis;1,47E+09;3547;380
Hymenopus heteromorphus;1,42E+09;5405;780
Attalea speciosa;1,38E+09;2060;115
Euterpe oleracea;1,36E+09;10708;160
Virola surinamensis;1,34E+09;4718;413
Ruizterania retusa;1,32E+09;1967;41
Eperua falcata;1,32E+09;6377;148
Protium apiculatum;1,31E+09;4527;459
Micropholis guyanensis;1,29E+09;3800;700
Iryanthera juruensis;1,24E+09;2917;504
Helicostylis tomentosa;1,22E+09;2387;619
Pseudolmedia laevigata;1,21E+09;2419;431
Leptobalanus apetalus;1,16E+09;4923;408
Theobroma cacao;1,09E+09;2096;208
Gustavia augusta;1,09E+09;3044;332
Eperua leucantha;1,08E+09;1574;23
Trattinnickia burserifolia;1,05E+09;1221;198
Protium hebetatum;1,05E+09;4373;338
Virola calophylla;1,04E+09;3106;561
Pouteria guianensis;1,03E+09;3940;712
Brosimum guianense;1,01E+09;2806;652
Mabea speciosa;9,99E+08;2101;272
Attalea phalerata;9,97E+08;2220;120
Oenocarpus bacaba;9,93E+08;13977;468
Leonia glycycarpa;9,86E+08;2600;466
Dialium guianense;9,60E+08;2110;578
Theobroma subincanum;9,56E+08;3000;571
Inga alba;9,27E+08;2972;589
Hevea guianensis;9,24E+08;3644;441
Metrodorea flavida;9,23E+08;1568;133
Eschweilera albiflora;9,22E+08;1414;153
Rinorea guianensis;9,16E+08;4092;267
Clathrotropis macrocarpa;9,03E+08;1910;93
Tapirira guianensis;9,01E+08;2486;640
Protium heptaphyllum;8,78E+08;1696;199
Aspidosperma excelsum;8,74E+08;3355;522
Eschweilera grandiflora;8,64E+08;3305;330
Attalea butyracea;8,41E+08;2003;87
Goupia glabra;8,24E+08;3193;600
Virola elongata;8,17E+08;1884;343
Minquartia guianensis;8,14E+08;3215;802
Protium sagotianum;8,07E+08;1795;330
Carapa guianensis;7,96E+08;3863;367
Attalea maripa;7,85E+08;1818;304
Virola pavonis;7,77E+08;1726;289
Licania micrantha;7,63E+08;1838;364
Chrysophyllum sanguinolentum;7,63E+08;2185;390
Theobroma speciosum;7,56E+08;1603;298
Brosimum rubescens;7,53E+08;2576;612
Micrandra sprucei;7,51E+08;1209;15
Symphonia globulifera;7,27E+08;2734;580
Pterocarpus rohrii;7,27E+08;1602;372
Jacaranda copaia;7,05E+08;2504;609
Protium picramnioides;6,94E+08;4424;470
Guarea kunthiana;6,93E+08;1533;300
Pourouma minor;6,91E+08;1946;338
Cheiloclinium cognatum;6,78E+08;1245;143
Pouteria elegans;6,78E+08;1900;182
Pouteria caimito;6,73E+08;2218;402
Guatteria punctata;6,64E+08;3363;465
Eschweilera tessmannii;6,58E+08;1368;244
Pourouma guianensis;6,53E+08;2073;421
Sacoglottis guianensis;6,52E+08;2062;370
Protium trifoliolatum;6,48E+08;1492;308
Ecclinusa guianensis;6,47E+08;2587;438
Pseudosenefeldera inclinata;6,41E+08;2125;72
Himatanthus articulatus;6,29E+08;1195;377
Hevea spruceana;6,24E+08;1301;83
Virola michelii;6,22E+08;3366;414
Manilkara bidentata;6,17E+08;2431;459
Rinorea racemosa;6,07E+08;5488;345
Cecropia sciadophylla;6,06E+08;2150;423
Pterocarpus amazonum;6,06E+08;1029;155
Spondias mombin;5,98E+08;1900;335
Tachigali paniculata;5,94E+08;1274;278
Amaioua guianensis;5,93E+08;1749;246
Rinoreocarpus ulei;5,87E+08;933;92
Eschweilera bracteosa;5,81E+08;1959;238
Lecythis idatimon;5,76E+08;3218;142
Pseudolmedia macrophylla;5,71E+08;1248;228
Qualea paraensis;5,68E+08;1166;244
Micrandra spruceana;5,67E+08;1086;84
Conceveiba guianensis;5,62E+08;1586;507
Protium decandrum;5,57E+08;1882;337
Virola sebifera;5,55E+08;1214;331
Eschweilera wachenheimii;5,53E+08;1800;180
Guarea guidonia;5,51E+08;1270;247
Amphiodon effusus;5,48E+08;1531;136
Eperua purpurea;5,45E+08;800;31
Eschweilera amazonica;5,44E+08;3016;196
Iryanthera laevis;5,40E+08;1376;332
Guarea macrophylla;5,34E+08;1429;216
Sterculia pruriens;5,27E+08;1790;426
Astrocaryum jauari;5,24E+08;1083;92
Micropholis venulosa;5,18E+08;1590;486
Eschweilera parviflora;5,15E+08;1859;134
Oxandra polyantha;5,13E+08;841;33
Zygia racemosa;5,07E+08;2414;427
Leptobalanus octandrus;5,03E+08;1826;362
Gustavia hexapetala;5,02E+08;1730;308
Bocageopsis multiflora;4,98E+08;1622;324
Osteophloeum platyspermum;4,98E+08;1417;441
Triplaris weigeltiana;4,96E+08;1316;116
Sagotia racemosa;4,95E+08;1271;136
Eschweilera atropetiolata;4,94E+08;2204;257
Eschweilera parvifolia;4,94E+08;1348;122
Sagotia brachysepala;4,90E+08;757;35
Clarisia racemosa;4,81E+08;1262;422
Maquira coriacea;4,80E+08;941;131
Naucleopsis caloneura;4,80E+08;1201;284
Ocotea aciphylla;4,79E+08;1009;223
Unonopsis guatterioides;4,78E+08;1003;225
Protium amazonicum;4,77E+08;1779;284
Lecythis corrugata;4,75E+08;1966;139
Swartzia polyphylla;4,75E+08;1778;340
Eschweilera truncata;4,75E+08;585;95
Mollia lepidota;4,74E+08;948;92
Catostemma fragrans;4,72E+08;2518;106
Inga capitata;4,71E+08;1133;301
Mezilaurus itauba;4,70E+08;1126;318
Astrocaryum sciophilum;4,69E+08;1676;91
Otoba parvifolia;4,68E+08;2037;142
Pseudobombax munguba;4,67E+08;1228;101
Calophyllum brasiliense;4,67E+08;1504;263
Cenostigma tocantinum;4,63E+08;851;30
Macrolobium acaciifolium;4,62E+08;1153;177
Simarouba amara;4,62E+08;1221;537
Pterocarpus santalinoides;4,62E+08;1483;121
Protium spruceanum;4,58E+08;1915;259
Vatairea guianensis;4,57E+08;1219;251
Mauritiella armata;4,56E+08;995;30
Iryanthera ulei;4,56E+08;808;131
Eschweilera sagotiana;4,55E+08;2643;97
Scleronema micranthum;4,53E+08;1496;258
Leopoldinia piassaba;4,53E+08;603;18
Eschweilera pedicellata;4,53E+08;1887;295
Quararibea wittii;4,53E+08;1286;87
Drypetes amazonica;4,44E+08;948;155
Monopteryx uaucu;4,44E+08;621;48
Macrolobium angustifolium;4,43E+08;1417;179
Haploclathra cordata;4,42E+08;681;8
Sloanea guianensis;4,33E+08;914;320
Celtis schippii;4,32E+08;1215;166
Hura crepitans;4,26E+08;952;152
Handroanthus barbatus;4,23E+08;746;70
Pouteria cuspidata;4,23E+08;1059;372
Alexa imperatricis;4,20E+08;1563;37
Malouetia tamaquarina;4,19E+08;728;104
Siparuna decipiens;4,14E+08;1564;352
Xylopia amazonica;4,13E+08;1063;140
Protium tenuifolium;4,11E+08;2448;284
Trichilia quadrijuga;4,08E+08;886;207
Guarea silvatica;4,05E+08;733;191
Luehea cymulosa;4,02E+08;945;90
Geissospermum sericeum;3,99E+08;5912;190
Garcinia macrophylla;3,95E+08;866;286
Macrolobium limbatum;3,87E+08;726;222
Hirtella racemosa;3,87E+08;1086;176
Couepia guianensis;3,84E+08;1399;297
Campsiandra comosa;3,83E+08;747;94
Mabea nitida;3,83E+08;901;88
Caryocar glabrum;3,77E+08;1056;478
Apeiba petoumo;3,76E+08;1263;312
Macrolobium bifolium;3,72E+08;1136;124
Quararibea ochrocalyx;3,72E+08;426;111
Handroanthus serratifolius;3,71E+08;833;255
Protium paniculatum;3,71E+08;2450;222
Laetia procera;3,68E+08;1764;377
Mora excelsa;3,67E+08;1279;23
Ocotea guianensis;3,66E+08;918;119
Pouteria reticulata;3,66E+08;1928;377
Oxandra riedeliana;3,65E+08;595;91
Astrocaryum aculeatum;3,57E+08;639;138
Aparisthmium cordatum;3,56E+08;894;173
Cupania scrobiculata;3,55E+08;920;232
Neea oppositifolia;3,54E+08;749;229
Quararibea guianensis;3,53E+08;1697;136
Caraipa grandifolia;3,52E+08;652;119
Brosimum utile;3,50E+08;823;319
Astrocaryum macrocalyx;3,48E+08;1403;21
Ocotea cinerea;3,48E+08;717;176
Inga thibaudiana;3,47E+08;1252;329
Micropholis egensis;3,43E+08;1336;243
Theobroma sylvestre;3,40E+08;680;173
Lueheopsis rosea;3,40E+08;564;185
Trichilia micrantha;3,39E+08;1268;303
Chrysophyllum prieurii;3,38E+08;1048;280
Aldina heterophylla;3,38E+08;990;56
Neea floribunda;3,35E+08;640;158
Tovomita umbellata;3,30E+08;244;52
Ocotea leptobotra;3,28E+08;1271;273
Peltogyne paniculata;3,25E+08;721;198
Helicostylis scabra;3,25E+08;647;233
Taralea oppositifolia;3,24E+08;734;137
Laetia corymbulosa;3,24E+08;1058;45
Alchornea discolor;3,23E+08;714;158
Trichilia pleeana;3,22E+08;758;127
Zygia latifolia;3,21E+08;1120;170
Caraipa utilis;3,20E+08;1183;10
Toulicia guianensis;3,19E+08;777;181
Coccoloba densifrons;3,17E+08;938;146
Mora paraensis;3,14E+08;2879;55
Erisma uncinatum;3,14E+08;831;191
Vitex cymosa;3,11E+08;811;71
Eschweilera decolorans;3,10E+08;1484;130
Pourouma bicolor;3,07E+08;1142;274
Cecropia membranacea;3,06E+08;552;104
Pouteria macrophylla;3,03E+08;1227;205
Zygia cataractae;3,01E+08;496;66
Nealchornea yapurensis;3,01E+08;568;145
Iryanthera tricornis;3,01E+08;544;104
Dicymbe corymbosa;2,99E+08;1158;9
Inga edulis;2,98E+08;752;183
Pouteria torta;2,97E+08;1001;296
Vochysia vismiifolia;2,97E+08;461;90
Vouacapoua americana;2,96E+08;1632;174
Sapium glandulosum;2,96E+08;702;214
Abarema jupunba;2,96E+08;878;378
Cecropia latiloba;2,96E+08;870;75
Hymenaea courbaril;2,95E+08;840;249
Alexa grandiflora;2,95E+08;664;103
Pourouma cecropiifolia;2,94E+08;793;183
Piranhea trifoliata;2,93E+08;430;69
Caraipa densifolia;2,92E+08;566;80
Drypetes variabilis;2,92E+08;980;288
Sloanea floribunda;2,92E+08;661;265
Tachigali glauca;2,92E+08;781;216
Zygia juruana;2,89E+08;612;102
Parkia multijuga;2,89E+08;845;273
Eperua grandiflora;2,88E+08;1641;57
Leonia crassa;2,86E+08;620;77
Sapium marmieri;2,82E+08;699;195
Inga heterophylla;2,81E+08;575;171
Ouratea discophora;2,80E+08;553;100
Apeiba glabra;2,79E+08;784;234
Pouteria cladantha;2,76E+08;1270;307
Sacoglottis mattogrossensis;2,76E+08;554;96
Protium aracouchini;2,76E+08;658;194
Manicaria saccifera;2,75E+08;1024;38
Mabea subsessilis;2,73E+08;388;43
Micrandra elata;2,72E+08;786;27
Licania kunthiana;2,71E+08;1957;117
Sloanea eichleri;2,71E+08;674;138
Tachigali chrysophylla;2,70E+08;887;169
Protium altsonii;2,68E+08;750;218
Miconia pyrifolia;2,67E+08;925;87
Cynometra marginata;2,67E+08;543;49
Trichilia cipo;2,67E+08;416;116
Pseudolmedia rigida;2,65E+08;544;59
Casearia arborea;2,64E+08;671;163
Dicymbe uaiparuensis;2,64E+08;1003;12
Hymenopus oblongifolius;2,62E+08;817;162
Mabea piriri;2,61E+08;1063;159
Matayba arborescens;2,60E+08;568;113
Pouteria gomphiifolia;2,60E+08;549;76
Maquira guianensis;2,60E+08;967;329
Schefflera morototoni;2,59E+08;675;305
Protium unifoliolatum;2,58E+08;760;110
Inga rubiginosa;2,55E+08;1254;261
Eschweilera subglandulosa;2,55E+08;908;66
Mora gonggrijpii;2,55E+08;998;25
Protium robustum;2,54E+08;459;123
Bertholletia excelsa;2,54E+08;548;192
Otoba glycycarpa;2,51E+08;1089;97
Iryanthera elliptica;2,50E+08;493;161
Licania canescens;2,50E+08;1073;269
Astronium lecointei;2,50E+08;522;217
Inga marginata;2,50E+08;721;195
Protium rhoifolium;2,49E+08;563;162
Tachigali guianensis;2,47E+08;633;137
Ampelocera edentula;2,47E+08;630;289
Diplotropis purpurea;2,46E+08;612;257
Castilla ulei;2,46E+08;423;151
Pseudopiptadenia suaveolens;2,46E+08;1073;290
