species;population;N.ind;N.plots;pop.sd
Abarema acreana;2519450,167;1;1;2427255,496044
Abarema adenophora;88023190,4868;78;41;30468997,454426
Abarema auriculata;16164797,2034;31;12;6194602,02643668
Abarema barbouriana;10544408,2734;22;11;5650479,36722843
Abarema campestris;7967080,2094;5;1;9902423,58019624
Abarema cochleata;18475259,1588;19;17;7091600,39513837
Abarema commutata;6918086,7662;5;2;5483223,18796093
Abarema curvicarpa;4775341,553;9;6;2837327,13882412
Abarema floribunda;25153383,1174;11;7;12426622,5541972
Abarema gallorum;1451983,773;11;3;893318,238452752
Abarema jupunba;372678182,148;547;240;39719510,7777547
Abarema laeta;171462494,35;235;74;30832661,5948434
Abarema leucophylla;17216616,228;22;7;8557455,20589298
Abarema longipedunculata;1780685,392;1;1;2414213,93067545
Abarema macradenia;607916,8446;1;1;692742,886904667
Abarema mataybifolia;37982636,1698;97;51;14626660,4263354
Abarema microcalyx;7573894,0374;11;8;4511711,17291977
Abarema piresii;5926645,002;13;13;1956251,58090217
Abarema turbinata;2920652,9182;4;1;3162358,49883702
Abuta candollei;789356,4388;2;1;782870,317802112
Abuta grandifolia;95592871,4076;112;47;33986932,0274448
Abuta grisebachii;2128319,0218;2;2;1626332,38986592
Abuta imene;660670,3384;1;1;823208,954495676
Abuta panurensis;1593416,0418;1;1;1980484,71625828
Abuta rufescens;21599093,3342;26;11;10793336,2897316
Abuta sandwithiana;2322329,5052;3;2;2311177,48579308
Abuta seemannii;997255,2138;1;1;1178407,99108568
Abuta solimoesensis;2246930,11;1;1;2266442,91003869
Acacia alemquerensis;5294897,4758;3;2;4369022,71792524
Acacia bonariensis;3617267,593;3;1;4306359,47259851
Acacia hayesii;2219423,529;2;2;1956780,57904437
Acacia kuhlmannii;10991984,0724;10;3;8002227,32083653
Acacia loretensis;46966221,3106;50;19;37976090,2975095
Acacia multipinnata;51241409,4728;46;28;12325564,7212024
Acacia paraensis;1519331,1798;1;1;1819622,19394245
Acacia polyphylla;190286126,8642;145;27;90451888,2821667
Acacia riparia;44881540,1658;16;8;21510112,6964489
